employee_id,department,role_level,tenure_years,salary_band,performance_rating,training_hours_annual,avg_overtime_hrs_week,job_satisfaction_score,work_life_balance_score,last_promotion_years_ago,attrition_flag
EMP-0009731,Sales,Individual Contributor,8.3,Band 1,4.9,50,23.1,2.4,3.1,0.1,0
EMP-0008311,Finance,VP,16.0,Band 6,2.3,101,8.5,5.0,1.0,3.2,0
EMP-0003986,Operations,Associate,26.2,Band 1,1.6,98,5.7,4.4,3.7,1.6,0
EMP-0003056,Engineering,Individual Contributor,28.4,Band 3,4.9,35,1.6,3.9,3.3,8.8,0
EMP-0014424,Product,Manager,3.9,Band 1,3.4,8,18.2,3.1,3.2,7.0,1
EMP-0003816,HR,Team Lead,16.8,Band 4,3.1,120,17.6,3.5,1.9,5.4,0
EMP-0009066,Marketing,Team Lead,6.3,Band 2,1.7,94,18.6,1.9,3.5,1.6,1
EMP-0004186,Legal,Senior Manager,22.4,Band 5,3.6,78,21.3,2.4,2.5,1.2,1
EMP-0003211,IT,Director,5.2,Band 6,2.4,102,13.5,3.0,4.0,1.7,0
EMP-0014984,Product,Individual Contributor,18.9,Band 6,4.6,110,15.0,4.2,2.9,0.7,0
EMP-0013157,Legal,VP,3.7,Band 1,1.8,86,9.2,5.0,2.9,0.9,0
EMP-0014942,Operations,Associate,2.7,Band 4,1.8,7,7.1,3.2,4.2,2.9,0
EMP-0007147,Operations,Associate,19.2,Band 6,2.3,116,24.3,4.5,2.2,8.0,0
EMP-0001530,IT,Director,17.6,Band 3,2.2,68,1.0,3.1,1.9,5.5,0
EMP-0004403,Customer Success,Senior Manager,16.4,Band 4,4.7,11,1.3,4.9,1.4,1.6,1
EMP-0014651,Customer Success,Manager,11.5,Band 1,2.1,9,2.7,4.8,4.6,9.7,1
EMP-0011408,Sales,VP,12.8,Band 1,2.6,2,18.7,3.3,3.3,2.5,0
EMP-0013359,Product,VP,9.5,Band 6,2.5,65,17.3,4.1,4.7,2.3,0
EMP-0003720,Engineering,Individual Contributor,18.2,Band 4,4.4,48,11.2,2.8,4.6,2.0,0
EMP-0001163,Customer Success,Director,18.2,Band 3,4.4,57,12.5,4.1,1.1,2.0,0
EMP-0014776,Operations,Associate,10.9,Band 1,3.5,84,23.6,4.1,4.5,7.8,0
EMP-0010343,Sales,Individual Contributor,21.5,Band 1,3.8,8,6.1,3.2,3.1,1.6,0
EMP-0002651,Marketing,VP,27.8,Band 2,4.2,89,5.3,2.2,3.0,2.0,0
EMP-0000908,HR,Analyst,27.8,Band 1,2.5,75,0.0,3.1,4.2,4.4,0
EMP-0004498,Operations,Analyst,2.9,Band 4,3.9,113,24.4,3.6,4.6,4.2,0
EMP-0011234,Customer Success,Associate,19.8,Band 1,3.5,35,17.1,2.7,3.7,9.1,1
EMP-0005875,Product,Analyst,2.2,Band 1,4.9,84,21.1,4.3,3.6,3.1,1
EMP-0014305,Operations,Associate,28.0,Band 4,3.2,95,19.6,3.0,2.9,0.7,0
EMP-0007143,Sales,Individual Contributor,28.4,Band 1,2.6,48,22.7,3.3,2.3,8.3,1
EMP-0006919,HR,Senior Manager,3.7,Band 1,3.9,0,14.3,4.0,1.0,6.2,0
EMP-0011490,HR,Manager,1.7,Band 2,2.2,34,20.1,3.5,3.4,2.9,0
EMP-0014006,Marketing,Manager,10.5,Band 4,2.2,34,3.7,2.5,2.8,9.3,0
EMP-0006947,IT,Individual Contributor,4.3,Band 2,3.8,8,18.5,1.0,2.9,1.6,1
EMP-0007120,Engineering,VP,19.3,Band 2,3.0,20,15.5,1.7,3.2,6.7,0
EMP-0003457,Legal,Senior Manager,17.1,Band 2,2.9,92,19.6,2.8,4.0,0.6,0
EMP-0007810,Operations,Director,12.7,Band 3,1.7,30,22.4,3.6,2.0,7.1,1
EMP-0011781,Operations,Manager,3.8,Band 2,4.4,59,8.1,2.8,2.9,9.9,0
EMP-0014884,Finance,Individual Contributor,15.3,Band 6,4.7,66,19.8,2.9,3.1,7.4,0
EMP-0004956,Sales,Manager,18.7,Band 3,2.4,68,5.9,4.6,2.9,1.8,0
EMP-0009033,Finance,VP,9.2,Band 4,4.4,92,6.9,3.9,4.8,5.2,1
EMP-0005660,Engineering,Individual Contributor,25.9,Band 5,4.0,73,4.4,3.0,3.5,9.1,0
EMP-0000491,Sales,Director,29.7,Band 2,3.3,83,23.5,3.6,3.5,5.4,0
EMP-0004632,Marketing,Individual Contributor,1.8,Band 4,4.3,101,14.5,2.2,1.6,6.3,0
EMP-0007364,Sales,Team Lead,17.2,Band 2,2.7,22,20.5,2.7,1.3,5.3,0
